"","date","player_name","played_game","at_bats","hits","runs_batted_in","homeruns","stolen_bases","special_hitting","innings_pitched","hits_allowed","runs_allowed","strikeouts","big_plays","special_pitching","Hitting.Handedness","Pitching.Handedness","player_type","captain","special_use_rate","batting_average","era","so9","hip","cum_at_bats","cum_hits","running_avg","cum_runs_allowed","cum_innings","running_era"
"27",2020-01-11,"Diddy Kong","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","1",0.153846153846154,0.153846153846154,2.30642504118616,6.75453047775947,0.9518579535054,0,0,0,0,0,0
"28",2020-01-11,"Flying Goomba","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0,0,0,0,0,0,0,0,0,0
"29",2020-01-11,"Goomba","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0,0.315789473684211,0,0,0,0,0,0,0,0,0
"30",2020-01-11,"Toadette","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0.214285714285714,0,0,0,0,0,0,0,0,0
"31",2020-01-11,"Waluigi","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","1",0.160714285714286,0.321428571428571,5.1394422310757,7.58964143426295,1.41434262948207,0,0,0,0,0,0
"32",2020-01-19,"Koopa","1",4,1,1,0,0,0,8,13,7,5,0,0,0,0,"Balance","0",0.0110192837465565,0.303030303030303,3.36409703088572,8.20215410107705,1.24467736652473,9,4,0.444444444444444,8,17,4.23529411764706
"33",2020-01-19,"Boo","1",4,2,1,0,0,0,9,6,1,4,0,0,0,0,"Technique","0",0,0.355978260869565,4.33548387096774,7.76129032258064,1.34838709677419,7,4,0.571428571428571,5,18,2.5
"34",2020-01-19,"Birdo","1",4,2,0,0,0,2,0,0,0,0,0,0,0,0,"Balance","1",0.258152173913043,0.345108695652174,15.5172413793103,7.75862068965517,1.72413793103448,8,3,0.375,0,0,0
"35",2020-01-19,"Daisy","1",3,2,2,0,1,1,0,0,0,0,0,1,0,0,"Balance","1",0.151234567901235,0.345679012345679,5.229180116204,11.0393802453196,1.80761781794706,7,3,0.428571428571429,0,0,0
"36",2020-01-19,"Bowser","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Power","1",0.028169014084507,0.315492957746479,12.3287671232877,12.3287671232877,1.91780821917808,7,3,0.428571428571429,0,0,0
"37",2020-01-19,"Drybones","1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00510204081632653,0.285714285714286,0,0,0,6,1,0.166666666666667,0,0,0
"38",2020-01-19,"Flying Koopa","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00568181818181818,0.323863636363636,3.9700451374641,7.29380385720148,1.40028723840788,8,2,0.25,0,0,0
"39",2020-01-19,"Grandpapa Toad","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00261780104712042,0.405759162303665,0,0,3.03030303030303,8,4,0.5,0,0,0
"40",2020-01-19,"Luigi","1",4,1,0,0,0,0,0,0,0,0,0,1,0,0,"Balance","1",0.0466472303206997,0.323615160349854,0,0,0,8,1,0.125,0,0,0
"41",2020-01-19,"Magikoopa","1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00606060606060606,0.224242424242424,18,0,0,6,1,0.166666666666667,0,0,0
