"","date","player_name","played_game","at_bats","hits","runs_batted_in","homeruns","stolen_bases","special_hitting","innings_pitched","hits_allowed","runs_allowed","strikeouts","big_plays","special_pitching","Hitting.Handedness","Pitching.Handedness","player_type","captain","special_use_rate","batting_average","era","so9","hip","cum_at_bats","cum_hits","running_avg","cum_runs_allowed","cum_innings","running_era"
"32",2020-01-19,"Koopa","1",4,1,1,0,0,0,8,13,7,5,0,0,0,0,"Balance","0",0.0101010101010101,0.313131313131313,3.20738137082601,7.95254833040422,1.23999218902558,9,4,0.444444444444444,8,17,4.23529411764706
"33",2020-01-19,"Boo","1",4,2,1,0,0,0,9,6,1,4,0,0,0,0,"Technique","0",0,0.343333333333333,4.38813843817441,7.81712093357845,1.40676204939653,7,4,0.571428571428571,5,18,2.5
"34",2020-01-19,"Birdo","1",4,2,0,0,0,2,0,0,0,0,0,0,0,0,"Balance","1",0.26,0.343333333333333,21.6867469879518,5.42168674698795,2.40963855421687,8,3,0.375,0,0,0
"35",2020-01-19,"Daisy","1",3,2,2,0,1,1,0,0,0,0,0,1,0,0,"Balance","1",0.151515151515152,0.34469696969697,4.67012601927354,11.3417346182357,1.70496664195701,7,3,0.428571428571429,0,0,0
"36",2020-01-19,"Bowser","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Power","1",0.034965034965035,0.332167832167832,13.5542168674699,10.8433734939759,2.10843373493976,7,3,0.428571428571429,0,0,0
"37",2020-01-19,"Drybones","1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00649350649350649,0.285714285714286,0,0,0,6,1,0.166666666666667,0,0,0
"38",2020-01-19,"Flying Koopa","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.0069204152249135,0.325259515570934,4.12968665096903,7.11827567469661,1.42486264565598,8,2,0.25,0,0,0
"39",2020-01-19,"Grandpapa Toad","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0,0.438311688311688,0,0,3.03030303030303,8,4,0.5,0,0,0
"40",2020-01-19,"Luigi","1",4,1,0,0,0,0,0,0,0,0,0,1,0,0,"Balance","1",0.0428571428571429,0.335714285714286,0,0,0,8,1,0.125,0,0,0
"41",2020-01-19,"Magikoopa","1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00680272108843537,0.217687074829932,18,0,0,6,1,0.166666666666667,0,0,0
"42",2020-01-19,"Mario","1",4,1,0,0,0,0,0,0,0,0,0,2,0,0,"Balance","1",0.430034129692833,0.453924914675768,8.3017320897817,6.45690273649687,1.63984831403095,8,3,0.375,0,0,0
"43",2020-01-19,"Petey","1",4,1,1,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0,0.295138888888889,0,0,0,8,2,0.25,0,0,0
